Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC Part #
"7.5kO","100mW Thick Film Resistors 75V ±100ppm/? ±1% 7.5kO 0603 Chip Resistor - Surface Mount ROHS, #RC0603FR-077K5L, JLC#C114634","R203","Resistor, 0603, Yageo","Resistor, 0603, 7.5kO","1","C114634"
"2kO","100mW Thick Film Resistors 75V ±100ppm/? ±1% 2kO 0603 Chip Resistor - Surface Mount ROHS, #RC0603FR-072KL, JLC#C105576","R204, R208","Resistor, 0603, Yageo","Resistor, 0603, 2kO","2","C105576"
"1kO","Thick Film Resistor, ±1%, ±100ppm/?, -55?~+155?, 0603 Chip Resistor - Surface Mount ROHS, #RC0603FR-071KL, JLC#C22548","R207","Resistor, 0603, Yageo","Resistor, 0603, 1kO","1","C22548"
"10kO","Thick Film Resistor, ±1%, ±100ppm/?, -55?~+155?, 0603, 10kO, #RC0603FR-0710KL, JLC#C98220","R601","Resistor, 0603, Yageo","Resistor, 0603, 10kO","1","C98220"
"MK-12C02-G020","Horizontal attachment 1A Single Pole Double Throw (SPDT) 6V Black 10,000 times SMD Slide Switches ROHS, JLC#C963206","S101","Swich, 1A, Single Pole Double Throw, MK-12C02-G020","Swich, 1A, Single Pole Double Throw","1","C963206"
"RH-5015","Pogo Pin Spring Probe Connector ROHS, #RH-5015, JLC#C5199798","TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12","Test Point","Test Ring","12","C5199798"
"LM3880MF-1AB","USON-6-EP(2.1x2.1) Ambient Light Sensors ROHS, JLC#C701867","U101","Sequencer, SOT-23","Sequencer, 3 Flags, 30ms, 1-2-3/3-2-1","1","C701867"
"DRV8210DRLR","SOT-563 Relay / Coil Drivers ROHS, #DRV8210DRLR, JLC#C3681297","U102","H-Bridge, SOT-563","H-Bridge, SOT-563","1","C3681297"
"RPR-0521RS","SMD-8P Ambient Light Sensors ROHS, JLC#C509781","U103","Rohm ALS","Rohm ALS","1","C509781"
"TPS62912RPUR","Step-down type Adjustable 2A 800mV~5.5V 3V~17V VQFN-10-HR(2x2) DC-DC Converters ROHS, JLC#C3198056","U201, U202","Buck Converter, TPS62912RPUR","Buck Converter, TPS62912RPUR","2","C3198056"
"TPS7A2018PDBVR","300mA Fixed 1.8V Positive electrode 6V SOT-23-5L Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS, JLC#C963430","U203","TPS7A20 - SOT-23-5L","TPS7A2018PDBVR, 1.8V","1","C963430"
"TPS7A2033PDBVR","300mA Fixed 3.3V Positive electrode 6V SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS, JLC#C2862740","U204","TPS7A20 - SOT-23-5L","TPS7A2018PDBVR, 3.3V","1","C2862740"
"TXS0104EPWR","2.3V~5.5V 1 4 1.65V~3.6V 24Mbps TSSOP-14 Translators, Level Shifters ROHS, #TXS0104EPWR, JLC#C44955","U601","Level Shifter, 4-Bit","Level Shifter 4-Bit, Open Drain","1","C44955"
"OT322537.125MJBA4SL","1.8V~3.3V ±10ppm ±20ppm CMOS 37.125MHz SMD3225-4P Crystal Oscillators ROHS, JLC#C2831393","Y601","Clock Oscillator, 3235, 37.125","Clock Oscillator, SMD3225, 37.125Mhz","1","C2831393"
